,Date,weekday,month,fox,bear,wolf,count
0,2010-06-02,1,6,4,4,0,1
8,2010-06-03,1,6,0,15,0,1
23,2010-06-04,1,6,0,5,0,1
28,2010-06-05,1,6,0,7,0,1
35,2010-06-06,1,6,0,4,0,1
39,2010-06-07,1,6,8,9,0,1
56,2010-06-08,2,6,8,11,0,1
75,2010-06-09,2,6,6,8,0,1
89,2010-06-10,2,6,0,2,0,1
91,2010-06-11,2,6,8,5,12,1
116,2010-06-12,2,6,11,12,17,1
156,2010-06-13,2,6,9,5,19,1
189,2010-06-14,2,6,3,8,1,1
201,2010-06-15,2,6,10,11,3,1
225,2010-06-16,2,6,13,1,30,1
269,2010-06-17,2,6,1,9,23,1
302,2010-06-18,2,6,2,39,32,1
375,2010-06-19,2,6,5,33,25,1
438,2010-06-20,2,6,20,30,57,1
545,2010-06-21,2,6,30,57,37,1
669,2010-06-22,2,6,16,98,37,1
820,2010-06-23,3,6,17,65,40,1
942,2010-06-24,3,6,19,73,88,1
1122,2010-06-25,3,6,29,65,125,1
1341,2010-06-26,3,6,63,232,134,1
1770,2010-06-27,3,6,58,121,49,1
1998,2010-06-28,4,6,56,197,37,1
2288,2010-06-29,4,6,95,203,107,1
2693,2010-06-30,4,6,128,294,153,1
3268,2010-07-01,4,6,221,332,125,1
3946,2010-07-02,4,6,235,330,190,1
4701,2010-07-03,4,6,213,347,217,1
5478,2010-07-04,5,6,248,337,121,1
6184,2010-07-05,5,6,249,247,129,1
6809,2010-07-06,5,6,390,334,175,1
7708,2010-07-07,5,6,349,295,339,1
8691,2010-07-08,5,6,287,419,268,1
9665,2010-07-09,6,6,369,310,252,1
10596,2010-07-10,6,6,293,232,329,1
11450,2010-07-11,6,6,225,230,243,1
12148,2010-07-12,6,6,246,270,137,1
12801,2010-07-13,6,6,322,221,252,1
13596,2010-07-14,6,6,393,434,364,1
14787,2010-07-15,6,6,337,474,175,1
15773,2010-07-16,6,6,417,361,102,1
16653,2010-07-17,6,6,417,340,179,1
17589,2010-07-18,6,6,232,279,105,1
18205,2010-07-19,6,6,328,421,55,1
19009,2010-07-20,0,6,318,373,105,1
19805,2010-07-21,0,6,299,233,163,1
20500,2010-07-22,0,6,294,286,224,1
21304,2010-07-23,0,6,248,250,204,1
22006,2010-07-24,0,6,304,337,125,1
22772,2010-07-25,0,6,208,264,179,1
23423,2010-07-26,0,6,276,318,177,1
24194,2010-07-27,0,6,435,366,210,1
25205,2010-07-28,0,6,277,263,336,1
26081,2010-07-29,0,6,280,281,209,1
26851,2010-07-30,0,6,343,201,150,1
27545,2010-07-31,0,6,235,198,131,1
28109,2010-08-01,0,6,208,238,137,1
28692,2010-08-02,0,6,248,302,140,1
29382,2010-08-03,0,6,280,374,144,1
30180,2010-08-04,0,6,263,373,293,1
31109,2010-08-05,0,6,357,260,285,1
32011,2010-08-06,0,6,390,280,327,1
33008,2010-08-07,0,6,320,398,281,1
34007,2010-08-08,0,6,335,358,295,1
34995,2010-08-09,0,6,320,375,256,1
35946,2010-08-10,0,6,280,355,325,1
36906,2010-08-11,0,6,372,209,542,1
38029,2010-08-12,0,6,534,308,523,1
39394,2010-08-13,1,6,543,338,372,1
40647,2010-08-14,1,6,364,438,304,1
41753,2010-08-15,1,6,323,382,386,1
42844,2010-08-16,1,6,273,502,365,1
43984,2010-08-17,1,6,350,455,367,1
45156,2010-08-18,1,6,373,379,410,1
46318,2010-08-19,1,6,290,390,294,1
47292,2010-08-20,1,6,281,354,273,1
48200,2010-08-21,1,6,330,309,336,1
49175,2010-08-22,1,6,237,279,272,1
49963,2010-08-23,1,6,181,155,246,1
50545,2010-08-24,1,6,247,171,371,1
51334,2010-08-25,1,6,270,184,546,1
52334,2010-08-26,1,6,205,238,301,1
53078,2010-08-27,2,6,202,207,263,1
53750,2010-08-28,2,6,176,252,156,1
54334,2010-08-29,2,6,159,339,134,1
54966,2010-08-30,2,6,137,226,131,1
55460,2010-08-31,2,6,128,138,159,1
55885,2010-09-01,3,6,185,264,189,1
56523,2010-09-02,3,6,82,208,56,1
56869,2010-09-03,3,6,67,133,31,1
57100,2010-09-04,3,6,51,72,18,1
57241,2010-09-05,3,6,58,74,15,1
57388,2010-09-06,3,6,50,43,3,1
57484,2010-09-07,3,6,50,51,15,1
57600,2010-09-08,3,6,20,95,5,1
57720,2010-09-09,3,6,10,43,9,1
57782,2010-09-10,3,6,15,69,14,1
57880,2010-09-11,3,6,28,6,8,1
57922,2010-09-12,4,6,3,7,3,1
57935,2010-09-13,4,6,20,6,2,1
57963,2010-09-14,4,6,22,17,8,1
58010,2010-09-15,4,6,10,5,9,1
58034,2010-09-16,4,6,15,8,5,1
58062,2010-09-17,4,6,24,4,6,1
58096,2010-09-18,4,6,14,6,4,1
58120,2010-09-19,4,6,5,5,5,1
58135,2010-09-20,4,6,11,5,1,1
58152,2010-09-21,4,6,7,1,4,1
58164,2010-09-22,4,6,4,0,5,1
58173,2010-09-23,4,6,5,2,7,1
58187,2010-09-24,4,6,9,7,0,1
58203,2010-09-25,4,6,9,2,2,1
58216,2010-09-26,4,6,4,4,0,1
58224,2010-09-27,4,6,4,3,3,1
58234,2010-09-28,4,6,4,1,2,1
58241,2010-09-29,4,6,22,2,1,1
58266,2010-09-30,4,6,9,0,5,1
58280,2010-10-01,4,6,4,6,0,1
